prompt_length,ttft_s,total_time_s,decode_throughput,peak_mem_gb,model,weight_mem_gb,overhead_gb,timestamp
5,0.060507899965159595,4.2354241000139154,11.976288290389178,0.26204395294189453,HuggingFaceTB/SmolLM2-135M,0.2505760192871094,0.011467933654785156,2026-07-22T22:32:05
36,0.2757249000133015,2.876995300000999,19.22137737016362,0.26619958877563477,HuggingFaceTB/SmolLM2-135M,0.2505760192871094,0.01562356948852539,2026-07-22T22:32:08
117,0.2362012000521645,2.8999545999686234,18.770506309468477,0.2778768539428711,HuggingFaceTB/SmolLM2-135M,0.2505760192871094,0.02730083465576172,2026-07-22T22:32:11
5,0.08247510000364855,0.7861048000049777,71.060104483801,0.26433658599853516,gpt2,0.2599973678588867,0.0043392181396484375,2026-07-22T22:32:18
37,0.13223809999180958,0.6133268999983557,103.93091670252906,0.2695307731628418,gpt2,0.2599973678588867,0.009533405303955078,2026-07-22T22:32:19
121,0.23198889999184757,0.7046496000257321,105.78412801490701,0.2838325500488281,gpt2,0.2599973678588867,0.023835182189941406,2026-07-22T22:32:20
